rain,humid,storage,used ,flow ,discharge
1.2,998.8,2.62,1.91,0,No risk
1.2,999.8,2.62,1.91,0,No risk
0,1000.4,2.62,1.91,0,No risk
6.4,1000.8,2.62,1.91,0,No risk
0.2,1000.7,2.62,1.91,0,No risk
1.2,1000.2,2.62,1.91,0,No risk
1.4,999.1,2.62,1.91,0,No risk
1,997.8,2.62,1.91,0,No risk
0.2,996.8,2.62,1.91,0,No risk
0.6,996.2,2.62,1.91,0,No risk
0.4,996.5,2.62,1.91,0,No risk
3.4,997,2.62,1.91,0,No risk
8.2,997.9,2.64,1.93,0,No risk
5.4,998.9,2.64,1.93,0,No risk
4,999.9,2.64,1.93,0,No risk
1.2,1000.4,2.64,1.93,0,No risk
0.8,1000.6,2.64,1.93,0,No risk
13.4,1000.9,2.64,1.93,0,No risk
5.2,1000.8,2.64,1.93,0,No risk
1,1000.7,2.64,1.93,0,No risk
18.6,-999,2.64,1.93,0,No risk
0.6,-999,2.64,1.93,0,No risk
0.6,-999,2.64,1.93,0,No risk
0.4,-999,2.64,1.93,0,No risk
0.4,-999,2.64,1.93,0,No risk
15.2,-999,2.64,1.93,0,No risk
0.6,1002.8,2.64,1.93,0,No risk
8.2,-999,2.57,1.86,0,No risk
0.8,-999,2.57,1.86,0,No risk
13.6,1002.1,2.57,1.86,0,No risk
32.8,-999,2.57,1.86,0,No risk
24.2,999.2,2.57,1.86,0,No risk
0.2,998,2.57,1.86,0,No risk
0.4,997.3,2.57,1.86,0,No risk
0.2,997.1,2.57,1.86,0,No risk
0.2,997.6,2.57,1.86,0,No risk
0.2,998.1,2.57,1.86,0,No risk
0,999,2.57,1.86,0,No risk
0,1000,2.57,1.86,0,No risk
0,1000.5,2.57,1.86,0,No risk
0.6,1000.6,2.57,1.86,0,No risk
4.2,1000.6,2.57,1.86,0,No risk
1.2,1000.6,2.57,1.86,0,No risk
0.2,1000.3,2.57,1.86,0,No risk
0.6,1000.1,2.57,1.86,0,No risk
0.8,999.8,2.57,1.86,0,No risk
0.4,999.8,2.57,1.86,0,No risk
0.4,1000.1,2.57,1.86,0,No risk
32.4,1000.5,2.57,1.86,0,No risk
0.4,1001.3,2.57,1.86,0,No risk
1.4,1002.1,2.57,1.86,0,No risk
33.6,1002.8,2.57,1.86,0,No risk
1.8,1002.8,2.57,1.86,0,No risk
0.6,1002.1,2.57,1.86,0,No risk
0.4,1000.6,2.57,1.86,0,No risk
0.6,999.1,2.57,1.86,0,No risk
0,997.8,2.57,1.86,0,No risk
1.6,997.2,2.57,1.86,0,No risk
4.8,996.9,2.57,1.86,0,No risk
0.8,997.3,2.57,1.86,0,No risk
12.4,997.9,2.57,1.86,0,No risk
0.8,998.8,2.57,1.86,0,No risk
5.4,999.7,2.57,1.86,0,No risk
0.6,1000.4,2.57,1.86,0,No risk
11.8,-999,2.57,1.86,0,No risk
0.4,-999,2.57,1.86,0,No risk
11.8,-999,2.57,1.86,0,No risk
0.8,-999,2.57,1.86,0,No risk
2.6,-999,2.57,1.86,0,No risk
5,-999,2.57,1.86,0,No risk
35,-999,2.57,1.86,0,No risk
7.6,-999,2.57,1.86,0,No risk
1.4,-999,2.57,1.86,0,No risk
3.2,-999,2.57,1.86,0,No risk
6.2,-999,2.57,1.86,0,No risk
10,1004.3,2.57,1.86,0,No risk
4,1004.2,2.57,1.86,0,No risk
26.4,1003.5,2.57,1.86,0,No risk
0,1002.4,2.57,1.86,0,No risk
0.6,1001.3,2.57,1.86,0,No risk
7.4,1000.3,2.6,1.89,0.02,No risk
0.8,1000,2.6,1.89,0.02,No risk
0.4,1000.3,2.6,1.89,0.02,No risk
13.4,1001.2,2.6,1.89,0.02,No risk
0.4,1002.2,2.6,1.89,0.02,No risk
4.2,1003.4,2.6,1.89,0.02,No risk
14,1004.7,2.6,1.89,0.02,No risk
41.6,-999,2.6,1.89,0.02,No risk
3.4,-999,2.6,1.89,0.02,No risk
9.2,-999,2.6,1.89,0.02,No risk
9.4,-999,2.6,1.89,0.02,No risk
7.8,-999,2.6,1.89,0.02,No risk
54.2,-999,2.6,1.89,0.02,No risk
59.6,-999,2.6,1.89,0.02,No risk
0,-999,2.6,1.89,0.02,No risk
0.2,-999,2.6,1.89,0.02,No risk
0.2,-999,2.6,1.89,0.02,No risk
0,-999,2.6,1.89,0.02,No risk
0,1007.4,2.6,1.89,0.02,No risk
0,1007.6,3.94,3.23,1.4,Normal
5,1007.1,3.94,3.23,1.59,Normal
0,1006.1,3.94,3.23,1.59,Normal
0,1004.6,3.94,3.23,1.59,Normal
0,-999,3.94,3.23,1.59,Normal
0.8,1001.2,3.94,3.23,1.59,Normal
0.4,1000.5,3.94,3.23,1.59,Normal
0,1000.2,3.94,3.23,1.59,Normal
0.2,1000.4,3.94,3.23,1.59,Normal
0,1000.7,3.94,3.23,1.59,Normal
0,1001.4,3.94,3.23,1.59,Normal
0,1002.4,3.94,3.23,1.59,Normal
0,1002.9,3.94,3.23,1.59,Normal
6,1003.2,3.94,3.23,1.59,Normal
24,1003.1,3.94,3.23,1.59,Normal
8.2,-999,4.03,3.32,3.21,High risk of flooding
18.6,-999,4.03,3.32,3.21,High risk of flooding
0,-999,4.03,3.32,3.21,High risk of flooding
0,-999,4.03,3.32,3.21,High risk of flooding
51.4,-999,4.03,3.32,3.21,High risk of flooding
5.2,-999,4.03,3.32,3.21,High risk of flooding
4.2,-999,4.03,3.32,3.21,High risk of flooding
0,-999,4.03,3.32,3.21,High risk of flooding
0,1003.5,4.03,3.32,3.21,High risk of flooding
0,1004,4.03,3.32,3.21,High risk of flooding
0,1003.8,4.03,3.32,3.21,High risk of flooding
1,1003,4.03,3.32,3.21,High risk of flooding
4,1001.7,4.03,3.32,3.21,High risk of flooding
0,-999,4.03,3.32,3.21,High risk of flooding
3.8,998.9,4.03,3.32,3.21,High risk of flooding
10.2,998,4.03,3.32,3.21,High risk of flooding
0,997.8,4.03,3.32,3.21,High risk of flooding
0,997.9,4,3.29,3.18,High risk of flooding
